sep=	
Project Name:	C:\SharedFolder\CControl_Lite\PLC\CControl_Lite.plcprj
Export Date/Time:	2026/06/18 13:59:45
RowType	Name	Type	ElementType	Dimensions	InitialValue	RetentiveEnabled	FolderName	BindType	BindObject	BindField	BindIsArray	BindValue	BindDirection	BindConverter	HasInputRange	MinValue	MaxValue	Target	Source	AddressEnabled	Address	HasBinding	VariableLength	NumberOfBytes	StringEncode	HasAlarm	AlarmType	HiHiThresholdState	HiHiThreshold	HiHiThresholdValue	HiHiThresholdDeadBand	HiHiThresholdAlarmGroup	HiHiThresholdMessageMode	HiHiThresholdMessage	HiHiThresholdSeverity	HiHiThresholdParameter	HiThresholdState	HiThreshold	HiThresholdValue	HiThresholdDeadBand	HiThresholdAlarmGroup	HiThresholdMessageMode	HiThresholdMessage	HiThresholdSeverity	HiThresholdParameter	LoThresholdState	LoThreshold	LoThresholdValue	LoThresholdDeadBand	LoThresholdAlarmGroup	LoThresholdMessageMode	LoThresholdMessage	LoThresholdSeverity	LoThresholdParameter	LoloThresholdState	LoloThreshold	LoloThresholdValue	LoloThresholdDeadBand	LoloThresholdAlarmGroup	LoloThresholdMessageMode	LoloThresholdMessage	LoloThresholdSeverity	LoloThresholdParameter	ThresholdState	ThresholdType	ThresholdCondition	ThresholdAlarmGroup	ThresholdMessageMode	ThresholdMessage	ThresholdSeverity	ThresholdParameter	DataSharing	LoggingGroup	Comments	
Variable	CControl_Lite_Par_Entfeuchter_DauerbetriebEin	BOOL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416515,00"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Par_Entfeuchter_AutomatikbetriebEin	BOOL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416516,00"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Par_Entfeuchter_Einschaltverz	UDINT				False												HMIDT542+HMIG3U	CControl_Lite	False	="416517"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Par_Entfeuchter_Ausschaltverz	UDINT				False												HMIDT542+HMIG3U	CControl_Lite	False	="416519"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Ausstattung_Luftaufbereiter_Typ	SINT				False												HMIDT542+HMIG3U	CControl_Lite	False	="416521"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Sensoren_FilterzeitTrockenluft	UINT				False												HMIDT542+HMIG3U	CControl_Lite	False	="416522"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Sensoren_FilterzeitStocktemp	UINT				False												HMIDT542+HMIG3U	CControl_Lite	False	="416524"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Sensoren_StockTempMessberMin	REAL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416526"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Sensoren_StockTempMessberMax	REAL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416528"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_HMI_TEST_doFrgLuftaufber	BOOL				False												HMIDT542+HMIG3U	CControl_Lite	False	="408960,00"	False	False										Direct									Direct									Direct									Direct									Direct			None		
